face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
M01,M,5,infinite__sungkyu,infinite__sungkyu,인피니트 성규,INFINITE,Sungkyu,14,0.6734,0.2420,0.0076
M03,M,4,infinite__sungyeol,infinite__sungyeol,인피니트 성열,INFINITE,Sungyeol,11,0.5939,0.1892,-0.0574
M05,M,1,infinite__woohyun,infinite__woohyun,인피니트 우현,INFINITE,Woohyun,8,0.5684,0.1191,-0.0583
M03,M,4,stray_kids__bang_chan,stray_kids__bang_chan,스트레이키즈 방찬,Stray Kids,Bang Chan,13,0.5529,-0.1272,0.1297
M03,M,4,stray_kids__changbin,stray_kids__changbin,스트레이키즈 창빈,Stray Kids,Changbin,10,0.7275,0.1413,-0.1157
M02,M,3,stray_kids__felix,stray_kids__felix,스트레이키즈 필릭스,Stray Kids,Felix,14,0.6529,-0.0077,-0.0954
M03,M,4,stray_kids__han,stray_kids__han,스트레이키즈 한,Stray Kids,Han,11,0.4715,0.2289,-0.0472
M02,M,3,stray_kids__hyunjin,stray_kids__hyunjin,스트레이키즈 현진,Stray Kids,Hyunjin,9,0.5159,-0.0816,-0.0961
M01,M,5,stray_kids__i_n,stray_kids__i_n,스트레이키즈 아이엔,Stray Kids,I.N,9,0.6453,-0.1256,0.2598
M06,M,8,stray_kids__lee_know,stray_kids__lee_know,스트레이키즈 리노,Stray Kids,Lee Know,10,0.6936,-0.3010,0.0081
M04,M,2,stray_kids__seungmin,stray_kids__seungmin,스트레이키즈 승민,Stray Kids,Seungmin,13,0.6406,-0.1659,-0.1056
M11,M,9,astro__cha_eunwoo,astro__cha_eunwoo,아스트로 차은우,ASTRO,Cha Eunwoo,9,0.5541,-0.3144,0.0748
M03,M,4,astro__jinjin,astro__jinjin,아스트로 진진,ASTRO,JinJin,10,0.6374,0.1616,0.1097
M01,M,5,astro__mj,astro__mj,아스트로 엠제이,ASTRO,MJ,12,0.5698,0.2562,0.2278
M01,M,5,astro__moonbin,astro__moonbin,아스트로 문빈,ASTRO,Moonbin,8,0.5553,-0.0551,0.1899
M10,M,10,astro__rocky,astro__rocky,아스트로 라키,ASTRO,Rocky,12,0.6286,-0.0620,-0.1998
M08,M,6,astro__sanha,astro__sanha,아스트로 산하,ASTRO,Sanha,7,0.5653,0.0606,-0.0030
M05,M,1,exo__baekhyun,exo__baekhyun,엑소 백현,EXO,Baekhyun,9,0.4994,0.1969,-0.2374
M03,M,4,exo__chanyeol,exo__chanyeol,엑소 찬열,EXO,Chanyeol,12,0.6744,-0.0680,-0.0922
M01,M,5,exo__chen,exo__chen,엑소 첸,EXO,Chen,12,0.6873,-0.1154,0.1145
M06,M,8,exo__do,exo__do,엑소 디오,EXO,D.O.,13,0.6242,-0.0158,0.0794
M05,M,1,exo__kai,exo__kai,엑소 카이,EXO,Kai,10,0.6966,0.0609,0.1328
M09,M,7,exo__lay,exo__lay,엑소 레이,EXO,Lay,7,0.5166,-0.2125,0.2282
M02,M,3,exo__sehun,exo__sehun,엑소 세훈,EXO,Sehun,11,0.5979,-0.0006,-0.3176
M10,M,10,exo__suho,exo__suho,엑소 수호,EXO,Suho,10,0.5012,0.1402,-0.1244
M04,M,2,exo__xiumin,exo__xiumin,엑소 시우민,EXO,Xiumin,10,0.6586,-0.0519,0.1013
M03,M,4,got7__bambam,got7__bambam,갓세븐 뱀뱀,GOT7,BamBam,11,0.6006,-0.1065,-0.0006
M07,M,0,got7__jackson,got7__jackson,갓세븐 잭슨,GOT7,Jackson,14,0.5463,-0.2524,0.1033
M06,M,8,got7__jb,got7__jb,갓세븐 제이비,GOT7,JB,8,0.5946,0.0206,0.1908
M03,M,4,got7__jinyoung,got7__jinyoung,갓세븐 진영,GOT7,Jinyoung,10,0.6668,0.0032,0.0569
M10,M,10,got7__mark,got7__mark,갓세븐 마크,GOT7,Mark,11,0.5590,0.0151,-0.2415
M04,M,2,got7__youngjae,got7__youngjae,갓세븐 영재,GOT7,Youngjae,14,0.6356,0.1414,0.2409
M10,M,10,got7__yugyeom,got7__yugyeom,갓세븐 유겸,GOT7,Yugyeom,11,0.4856,-0.1528,-0.2674
M04,M,2,highlight__dongwoon,highlight__dongwoon,하이라이트 동운,Highlight,Dongwoon,5,0.4704,-0.2450,0.1890
M08,M,6,highlight__doojoon,highlight__doojoon,하이라이트 두준,Highlight,Doojoon,8,0.4906,0.0479,0.1531
M03,M,4,highlight__gikwang,highlight__gikwang,하이라이트 기광,Highlight,Gikwang,5,0.5530,-0.0820,-0.0836
M10,M,10,highlight__yoseob,highlight__yoseob,하이라이트 요섭,Highlight,Yoseob,7,0.5738,0.0335,-0.3730
M05,M,1,ikon__bobby,ikon__bobby,아이콘 바비,iKON,Bobby,11,0.6771,0.2092,0.0274
